_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
1,ARH0002,100-120 Broadway Avenue,100 Broadway Ave,Completed,15,Don Valley West,24,0,0,"{""coordinates"": [[-79.39319723, 43.71096017]], ""type"": ""MultiPoint""}"
2,ARH0004,1072 - 1080 Bathurst Street,1072 Bathurst St,Completed,11,University-Rosedale,9,0,0,"{""coordinates"": [[-79.41434208, 43.67239262]], ""type"": ""MultiPoint""}"
3,ARH0005,1080 Queen Street East,1080 Queen St E,Completed,14,Toronto-Danforth,0,0,9,"{""coordinates"": [[-79.33669, 43.662097]], ""type"": ""MultiPoint""}"
4,ARH0006,109-125 George Street and 231 Richmond Street East,125 George St,Started Construction,13,Toronto Centre,7,0,0,"{""coordinates"": [[-79.37127918, 43.77372266]], ""type"": ""MultiPoint""}"
5,ARH0007,11 Brock Avenue,11 Brock Ave,Started Construction,4,Parkdale-High Park,0,0,42,"{""coordinates"": [[-79.43224046, 43.64212337]], ""type"": ""MultiPoint""}"
6,ARH0008,11 Macey Avenue,11 Macey Ave,Completed,20,Scarborough Southwest,0,0,56,"{""coordinates"": [[-79.28672758, 43.69273877]], ""type"": ""MultiPoint""}"
7,ARH0012,1120 Ossington Ave,1120 Ossington Ave,Completed,9,Davenport,0,0,26,"{""coordinates"": [[-79.43018233, 43.67193095]], ""type"": ""MultiPoint""}"
8,ARH0014,118 Havelock Street,118 Havelock St,Pre-Planning,9,Davenport,0,0,15,"{""coordinates"": [[-79.430825, 43.655969]], ""type"": ""MultiPoint""}"
9,ARH0015,1229 Queen Street West,1229 Queen St W,Planning Applications Under Review,4,Parkdale-High Park,76,0,0,"{""coordinates"": [[-79.42941893, 43.65631733]], ""type"": ""MultiPoint""}"
10,ARH0017,"1240, 1246, 1250 Weston Road",1240 Weston Rd,Pre-Planning,5,York South-Weston,97,0,0,"{""coordinates"": [[-79.49346772, 43.63975285]], ""type"": ""MultiPoint""}"
11,ARH0019,1250 Eglinton Ave West,1250 Eglinton Ave W,Pre-Planning,8,Eglinton-Lawrence,72,160,8,"{""coordinates"": [[-79.4344265, 43.69907461]], ""type"": ""MultiPoint""}"
12,ARH0020,1250 Markham Road,1250 Markham Road,Planning Applications Under Review,24,Scarborough-Guildwood,303,0,0,"{""coordinates"": [[-79.23422386, 43.77892625]], ""type"": ""MultiPoint""}"
13,ARH0022,128 Havelock Street,128 Havelock St,Started Construction,9,Davenport,10,0,0,"{""coordinates"": [[-79.430993, 43.656317]], ""type"": ""MultiPoint""}"
14,ARH0023,130 Augusta Avenue,130 Augusta Ave,Started Construction,10,Spadina-Fort York,4,0,0,"{""coordinates"": [[-79.40121902, 43.66261872]], ""type"": ""MultiPoint""}"
15,ARH0024,130 River Street,130 River St,Completed,13,Toronto Centre,3,0,5,"{""coordinates"": [[-79.35857944, 43.66148426]], ""type"": ""MultiPoint""}"
16,ARH0025,"1303, 1313 and 1325 Queen Street West and 220 Cowan Avenue (Parkdale Hub)",1325 Queen St W,Approved OPAs and Zoning By-Law Amendments,4,Parkdale-High Park,76,146,9,"{""coordinates"": [[-79.43265066, 43.64115089]], ""type"": ""MultiPoint""}"
17,ARH0026,1306-1310 The Queensway,1306 The Queensway,Approved OPAs and Zoning By-Law Amendments,3,Etobicoke-Lakeshore,12,0,0,"{""coordinates"": [[-79.52779671, 43.62147385]], ""type"": ""MultiPoint""}"
18,ARH0029,1319 Bloor Street West,1319 Bloor St W,Approved OPAs and Zoning By-Law Amendments,9,Davenport,15,0,0,"{""coordinates"": [[-79.44469207, 43.65774104]], ""type"": ""MultiPoint""}"
19,ARH0030,1350 Sheppard Avenue West (Downsview Area Secondary Plan - William Baker District),1350 Sheppard Ave W,Planning Applications Under Review,6,York Centre,340,0,0,"{""coordinates"": [[-79.48489413, 43.74531822]], ""type"": ""MultiPoint""}"
20,ARH0031,136 Kingston Road,136 Kingston Rd,Completed,19,Beaches-East York,0,0,24,"{""coordinates"": [[-79.31162559, 43.67072535]], ""type"": ""MultiPoint""}"
21,ARH0033,140 Merton Street,140 Merton St,Planning Applications Under Review,12,Toronto-St. Pauls,83,196,15,"{""coordinates"": [[-79.39170541, 43.69754214]], ""type"": ""MultiPoint""}"
22,ARH0034,140 the Queensway,140 The Queensway,Started Construction,3,Etobicoke-Lakeshore,0,0,38,"{""coordinates"": [[-79.48358506, 43.6307302]], ""type"": ""MultiPoint""}"
